TRAT,MEZCLA,DOSISN,BLOQUE,FLOR,PESO
E+UREA0,E+UREA,0,I,0.00,0.000
E+UREA25,E+UREA,25,I,65.33,2.511
E+UREA50,E+UREA,50,I,68.55,2.284
E+UREA75,E+UREA,75,I,92.85,2.610
E+UREA100,E+UREA,100,I,87.25,2.579
E+NA0,E+NA,0,I,0.00,0.000
E+NA25,E+NA,25,I,50.23,2.367
E+NA50,E+NA,50,I,48.25,2.607
E+NA75,E+NA,75,I,78.57,2.685
E+NA100,E+NA,100,I,69.25,2.439
E+NP0,E+NP,0,I,0.00,0.000
E+NP25,E+NP,25,I,68.75,2.202
E+NP50,E+NP,50,I,66.15,2.315
E+NP75,E+NP,75,I,85.30,2.616
E+NP100,E+NP,100,I,74.60,2.724
E+UREA0,E+UREA,0,II,0.00,0.000
E+UREA25,E+UREA,25,II,67.40,2.709
E+UREA50,E+UREA,50,II,70.21,2.689
E+UREA75,E+UREA,75,II,93.44,2.810
E+UREA100,E+UREA,100,II,85.65,2.663
E+NA0,E+NA,0,II,0.00,0.000
E+NA25,E+NA,25,II,54.18,2.507
E+NA50,E+NA,50,II,46.25,2.729
E+NA75,E+NA,75,II,79.82,2.845
E+NA100,E+NA,100,II,67.75,6.154
E+NP0,E+NP,0,II,0.00,0.000
E+NP25,E+NP,25,II,65.28,2.480
E+NP50,E+NP,50,II,64.75,2.628
E+NP75,E+NP,75,II,83.42,2.645
E+NP100,E+NP,100,II,77.55,2.656
E+UREA0,E+UREA,0,III,0.00,0.000
E+UREA25,E+UREA,25,III,64.80,2.798
E+UREA50,E+UREA,50,III,69.70,2.747
E+UREA75,E+UREA,75,III,94.25,2.781
E+UREA100,E+UREA,100,III,84.50,2.724
E+NA0,E+NA,0,III,0.00,0.000
E+NA25,E+NA,25,III,52.35,2.650
E+NA50,E+NA,50,III,49.27,2.781
E+NA75,E+NA,75,III,80.50,2.803
E+NA100,E+NA,100,III,67.89,2.917
E+NP0,E+NP,0,III,0.00,0.000
E+NP25,E+NP,25,III,63.25,3.116
E+NP50,E+NP,50,III,67.30,2.786
E+NP75,E+NP,75,III,85.30,2.826
E+NP100,E+NP,100,III,49.50,2.849
