TRAT,MEZCLA,DOSISN,BLOQUE,FLOR,PESO
E+UREA0,E+UREA,0,I,0.00,0.00
E+UREA25,E+UREA,25,I,65.33,2.51
E+UREA50,E+UREA,50,I,68.55,2.28
E+UREA75,E+UREA,75,I,92.85,2.61
E+UREA100,E+UREA,100,I,87.25,2.58
E+NA0,E+NA,0,I,0.00,0.00
E+NA25,E+NA,25,I,50.23,2.37
E+NA50,E+NA,50,I,48.25,2.61
E+NA75,E+NA,75,I,78.57,2.69
E+NA100,E+NA,100,I,69.25,2.69
E+NP0,E+NP,0,I,0.00,0.00
E+NP25,E+NP,25,I,68.75,2.20
E+NP50,E+NP,50,I,66.15,2.32
E+NP75,E+NP,75,I,85.30,2.62
E+NP100,E+NP,100,I,74.60,2.72
E+UREA0,E+UREA,0,II,0.00,0.00
E+UREA25,E+UREA,25,II,67.40,2.71
E+UREA50,E+UREA,50,II,70.21,2.69
E+UREA75,E+UREA,75,II,93.44,2.81
E+UREA100,E+UREA,100,II,85.65,2.66
E+NA0,E+NA,0,II,0.00,0.00
E+NA25,E+NA,25,II,54.18,2.51
E+NA50,E+NA,50,II,46.25,2.73
E+NA75,E+NA,75,II,79.82,2.85
E+NA100,E+NA,100,II,67.75,2.71
E+NP0,E+NP,0,II,0.00,0.00
E+NP25,E+NP,25,II,65.28,2.48
E+NP50,E+NP,50,II,64.75,2.63
E+NP75,E+NP,75,II,83.42,2.65
E+NP100,E+NP,100,II,74.07,2.66
E+UREA0,E+UREA,0,III,0.00,0.00
E+UREA25,E+UREA,25,III,64.80,2.80
E+UREA50,E+UREA,50,III,69.70,2.75
E+UREA75,E+UREA,75,III,94.25,2.78
E+UREA100,E+UREA,100,III,84.50,2.72
E+NA0,E+NA,0,III,0.00,0.00
E+NA25,E+NA,25,III,52.35,2.65
E+NA50,E+NA,50,III,49.27,2.78
E+NA75,E+NA,75,III,80.50,2.80
E+NA100,E+NA,100,III,67.89,2.92
E+NP0,E+NP,0,III,0.00,0.00
E+NP25,E+NP,25,III,63.25,2.51
E+NP50,E+NP,50,III,67.30,2.79
E+NP75,E+NP,75,III,85.30,2.83
E+NP100,E+NP,100,III,75.83,2.85
