LOCAL,TRATA,LINEA,BLOQUE,REND
Jicaro,1,L-18N,1,405.56
Jicaro,2,L-242-22BR,1,373.49
Jicaro,3,L-242-25BR,1,724.50
Jicaro,4,L-242-38B,1,619.41
Jicaro,5,L-242-43N,1,755.35
Jicaro,6,L-242-7N,1,348.87
Jicaro,7,L-242-9BR,1,265.69
Jicaro,8,L-246-19N,1,400.48
Jicaro,9,L-246-9B,1,529.96
Jicaro,10,L-30CP,1,340.16
Jicaro,11,L-35CP,1,492.41
Jicaro,12,L-37CP,1,375.00
Jicaro,13,L-38BR,1,194.96
Jicaro,14,L-39N,1,232.40
Jicaro,1,L-18N,2,526.35
Jicaro,2,L-242-22BR,2,867.97
Jicaro,3,L-242-25BR,2,538.13
Jicaro,4,L-242-38B,2,687.92
Jicaro,5,L-242-43N,2,555.96
Jicaro,6,L-242-7N,2,359.16
Jicaro,7,L-242-9BR,2,266.96
Jicaro,8,L-246-19N,2,526.23
Jicaro,9,L-246-9B,2,405.34
Jicaro,10,L-30CP,2,520.01
Jicaro,11,L-35CP,2,442.01
Jicaro,12,L-37CP,2,301.27
Jicaro,13,L-38BR,2,195.03
Jicaro,14,L-39N,2,341.65
Jicaro,1,L-18N,3,245.10
Jicaro,2,L-242-22BR,3,589.55
Jicaro,3,L-242-25BR,3,736.51
Jicaro,4,L-242-38B,3,450.99
Jicaro,5,L-242-43N,3,615.70
Jicaro,6,L-242-7N,3,467.32
Jicaro,7,L-242-9BR,3,443.40
Jicaro,8,L-246-19N,3,284.02
Jicaro,9,L-246-9B,3,345.05
Jicaro,10,L-30CP,3,600.51
Jicaro,11,L-35CP,3,481.07
Jicaro,12,L-37CP,3,259.94
Jicaro,13,L-38BR,3,285.66
Jicaro,14,L-39N,3,209.17
Jicaro,1,L-18N,4,458.81
Jicaro,2,L-242-22BR,4,686.75
Jicaro,3,L-242-25BR,4,452.48
Jicaro,4,L-242-38B,4,492.21
Jicaro,5,L-242-43N,4,533.27
Jicaro,6,L-242-7N,4,465.94
Jicaro,7,L-242-9BR,4,477.13
Jicaro,8,L-246-19N,4,389.48
Jicaro,9,L-246-9B,4,426.80
Jicaro,10,L-30CP,4,400.02
Jicaro,11,L-35CP,4,284.00
Jicaro,12,L-37CP,4,269.94
Jicaro,13,L-38BR,4,217.95
Jicaro,14,L-39N,4,462.48
Rancho,1,L-18N,1,266.75
Rancho,2,L-242-22BR,1,853.19
Rancho,3,L-242-25BR,1,708.12
Rancho,4,L-242-38B,1,182.53
Rancho,5,L-242-43N,1,408.98
Rancho,6,L-242-7N,1,462.64
Rancho,7,L-242-9BR,1,549.84
Rancho,8,L-246-19N,1,497.13
Rancho,9,L-246-9B,1,503.1
Rancho,10,L-30CP,1,453.7
Rancho,11,L-35CP,1,523.09
